Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.9652933,2.168016,0.6570292
1,-0.9610122,2.115326,0.6561279
2,-0.9584835,2.062786,0.6573009
3,-0.9594612,2.011427,0.6617978
4,-0.9664974,1.962779,0.6699915
5,-0.9820721,1.917702,0.6825387
6,-1.004796,1.876718,0.6951432
7,-1.032994,1.840306,0.7124171
8,-1.06769,1.806289,0.7273078
9,-1.106961,1.772613,0.7359593
10,-1.146965,1.736573,0.7356539
11,-1.183743,1.699912,0.7345307
12,-1.217132,1.662215,0.7391877
13,-1.246327,1.62438,0.7522469
14,-1.267522,1.586279,0.7734883
15,-1.282372,1.543691,0.792896
16,-1.291151,1.501754,0.8145938
17,-1.292581,1.460397,0.8356574
18,-1.287165,1.413601,0.8483157
19,-1.277009,1.364701,0.8571208
20,-1.266549,1.317737,0.8664982
21,-1.257553,1.277182,0.8877852
22,-1.249373,1.24791,0.9243469
23,-1.242107,1.225626,0.9648743
