Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.5214622,2.052065,0.689858
1,-0.5611173,2.044876,0.6948245
2,-0.6042023,2.037531,0.6885874
3,-0.650032,2.030326,0.6796303
4,-0.6958585,2.021449,0.6794839
5,-0.7437093,2.012069,0.6883559
6,-0.7935151,2.007115,0.6970623
7,-0.8364333,2.005121,0.6991577
8,-0.8643303,2.001954,0.6944344
9,-0.8755648,1.999597,0.6934195
10,-0.879186,1.99966,0.6918204
11,-0.880978,2.000703,0.6919696
12,-0.8896296,2.000659,0.6877298
13,-0.9051694,1.990925,0.6867511
14,-0.9175522,1.978201,0.686296
15,-0.9274958,1.96887,0.684829
16,-0.9283922,1.94733,0.6907735
17,-0.9264807,1.909695,0.6968606
18,-0.9215997,1.867339,0.6942658
19,-0.9161292,1.824562,0.6901922
20,-0.9169717,1.782883,0.6997695
21,-0.924382,1.743516,0.7122676
22,-0.9347837,1.705982,0.7262375
23,-0.9454044,1.671912,0.7312512
24,-0.9560488,1.648558,0.7230637
25,-0.9732718,1.631562,0.7169423
26,-0.9981586,1.600432,0.7261212
27,-1.022466,1.558296,0.7404182
28,-1.042236,1.50847,0.7523508
29,-1.058845,1.455087,0.75945
30,-1.075634,1.406832,0.7681038
31,-1.095382,1.365044,0.7837207
32,-1.116192,1.325374,0.7992077
33,-1.135429,1.286491,0.8093629
34,-1.144629,1.255561,0.8160896
35,-1.134607,1.247465,0.8177843
36,-1.101886,1.260665,0.8110209
37,-1.055664,1.280201,0.8033886
38,-1.000861,1.299033,0.7990232
39,-0.9425685,1.313038,0.7978024
40,-0.8902109,1.321123,0.8025954
41,-0.8388062,1.325394,0.8062832
42,-0.7872665,1.329487,0.8093314
43,-0.7353154,1.333649,0.8102126
44,-0.6833196,1.334424,0.8124528
45,-0.6302865,1.329644,0.8166225
46,-0.580289,1.320009,0.8206613
47,-0.5489644,1.313187,0.8266509
48,-0.5363721,1.316424,0.8216395
49,-0.535058,1.331447,0.8031795
50,-0.5301885,1.369181,0.7741632
51,-0.5263751,1.420841,0.7551725
52,-0.518209,1.470275,0.7374349
53,-0.5072244,1.516008,0.7176621
54,-0.4902107,1.559807,0.6903477
55,-0.4727352,1.606188,0.664273
56,-0.4613511,1.65116,0.6539502
57,-0.4580753,1.693624,0.6663618
58,-0.4628474,1.734709,0.6837463
59,-0.4745841,1.776988,0.6943841
60,-0.4864853,1.822285,0.6947675
61,-0.4980465,1.869352,0.6889
62,-0.5114042,1.914463,0.6823392
63,-0.5233402,1.95643,0.6743653
64,-0.5353383,1.989212,0.6746056
65,-0.5460062,2.005379,0.6846497
66,-0.5502417,2.010937,0.6897049
67,-0.55598,2.014539,0.6924846
