Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.4645039,1.688162,0.6570325
1,-0.4650649,1.688724,0.6577268
2,-0.465829,1.69011,0.659128
3,-0.467683,1.693122,0.6639466
4,-0.4683967,1.69443,0.6659245
5,-0.4702097,1.698139,0.6723852
6,-0.4711268,1.701958,0.6756039
7,-0.4710119,1.705643,0.6752019
8,-0.4710798,1.707755,0.6756659
9,-0.4710935,1.710479,0.6761262
10,-0.4720882,1.713958,0.6761231
11,-0.4727631,1.717522,0.6760654
12,-0.4731954,1.71963,0.6762056
13,-0.4744609,1.724453,0.6795466
14,-0.4765453,1.729086,0.6867771
15,-0.476961,1.73192,0.6876512
16,-0.4763066,1.74044,0.6837072
17,-0.4766418,1.748546,0.6851857
18,-0.4777947,1.752512,0.6899824
19,-0.478227,1.756786,0.6918874
20,-0.4784911,1.761268,0.6931093
21,-0.4786931,1.763946,0.6940401
22,-0.4796143,1.770032,0.6973815
23,-0.4801644,1.772788,0.6999378
24,-0.4808108,1.776296,0.7028537
25,-0.4819769,1.782493,0.7078872
26,-0.4828797,1.785864,0.7117176
27,-0.4832051,1.78806,0.7131441
28,-0.4833997,1.791188,0.7140365
29,-0.4835311,1.793242,0.7146387
30,-0.4835376,1.796257,0.7147329
31,-0.4833874,1.800003,0.7141821
32,-0.4832197,1.802403,0.7135386
33,-0.4828074,1.805727,0.7119017
34,-0.4824662,1.807918,0.7105403
35,-0.4820871,1.811061,0.7090249
36,-0.4816695,1.814907,0.7073512
37,-0.4812031,1.81924,0.7054741
38,-0.4809204,1.821914,0.7043362
39,-0.4805877,1.825434,0.7029953
40,-0.4804056,1.827707,0.7022638
41,-0.4798935,1.833027,0.700192
42,-0.4777965,1.840816,0.6976271
43,-0.4769862,1.84479,0.6974254
44,-0.475476,1.851496,0.7001653
45,-0.4744245,1.857179,0.7016757
46,-0.4733961,1.862481,0.7015829
47,-0.4712107,1.867877,0.7010157
48,-0.4696841,1.872915,0.7007205
49,-0.4687111,1.877781,0.7011144
50,-0.4681451,1.880663,0.7013841
51,-0.4677523,1.882591,0.7015088
52,-0.467183,1.885527,0.7009554
53,-0.4653303,1.889495,0.6995707
54,-0.4642426,1.89194,0.6989651
55,-0.4635928,1.893592,0.6989377
56,-0.4628323,1.896229,0.698576
57,-0.4620442,1.8997,0.697901
58,-0.4604474,1.90389,0.6983135
59,-0.4595486,1.906408,0.6988378
60,-0.4588178,1.908165,0.6987176
61,-0.4565106,1.913082,0.6983249
62,-0.4551773,1.915944,0.698128
63,-0.4540038,1.919476,0.6979134
64,-0.4529078,1.923542,0.6972694
65,-0.4517894,1.928035,0.6958358
66,-0.4511518,1.930766,0.6951406
67,-0.4495662,1.936473,0.6961942
68,-0.4485642,1.944013,0.698246
69,-0.447348,1.948179,0.6966147
70,-0.446606,1.950775,0.6956625
71,-0.4442511,1.956622,0.6939359
72,-0.4427159,1.961914,0.6931796
73,-0.4420291,1.966813,0.6942947
74,-0.4413338,1.971741,0.6944308
75,-0.4409117,1.974673,0.6944726
76,-0.4406416,1.976625,0.6945491
77,-0.4406033,1.979438,0.6955261
78,-0.4411702,1.982734,0.698694
79,-0.4417298,1.986543,0.7016675
80,-0.4420099,1.993129,0.7035565
81,-0.4416282,1.999104,0.7026587
82,-0.4413069,2.00461,0.7018318
83,-0.4424708,2.009171,0.7065406
84,-0.4440801,2.013372,0.7128682
85,-0.4443678,2.016175,0.7140872
86,-0.4446642,2.019703,0.7153261
87,-0.4450626,2.023664,0.7169337
88,-0.4455566,2.02598,0.7188683
89,-0.4459966,2.027515,0.7205787
90,-0.4465824,2.029951,0.7228448
91,-0.4469818,2.031598,0.72439
92,-0.4477858,2.035952,0.7274814
93,-0.448262,2.038546,0.7293122
94,-0.4496629,2.04137,0.7346523
95,-0.4511977,2.046835,0.7405009
96,-0.4515905,2.050098,0.7420025
97,-0.4517789,2.052227,0.7427263
98,-0.4520155,2.055231,0.7436321
99,-0.4521574,2.057212,0.7441745
100,-0.452232,2.058639,0.7444623
101,-0.4531378,2.061238,0.7445159
102,-0.453877,2.064635,0.7442532
103,-0.4543689,2.068651,0.7435184
104,-0.4546494,2.071186,0.7429552
105,-0.455679,2.073167,0.7425249
106,-0.4567085,2.075941,0.7423046
107,-0.4573749,2.079564,0.7411706
108,-0.457415,2.082129,0.7389588
109,-0.457983,2.086182,0.7346799
110,-0.458603,2.088597,0.7329574
111,-0.4590977,2.091871,0.7309904
112,-0.4593557,2.094085,0.7294228
113,-0.4603997,2.097702,0.7267132
114,-0.4623005,2.10038,0.7251182
115,-0.4635238,2.102133,0.7240162
116,-0.4644381,2.104822,0.7220936
117,-0.4661644,2.108859,0.7189522
118,-0.4673457,2.111259,0.7174864
119,-0.4680762,2.112953,0.7161798
120,-0.4711854,2.11886,0.7111447
121,-0.4738526,2.123061,0.7057354
122,-0.4757779,2.125272,0.7039709
123,-0.477199,2.126647,0.703351
124,-0.4794317,2.128005,0.7025888
125,-0.4808503,2.130357,0.7002311
126,-0.4849889,2.132708,0.6986198
127,-0.4877183,2.135447,0.6971548
