Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.4645039,1.688162,0.6570325
1,-0.4733979,1.731291,0.6808362
2,-0.4776464,1.776715,0.6955645
3,-0.4756329,1.823908,0.7004666
4,-0.466601,1.873166,0.6998703
5,-0.4548811,1.922287,0.6987152
6,-0.4473976,1.968869,0.7030194
7,-0.4477289,2.011937,0.716419
8,-0.4542168,2.053485,0.7265091
9,-0.4679245,2.093557,0.7184052
10,-0.4935666,2.126744,0.7004843
11,-0.5304919,2.150156,0.6832683
12,-0.5733093,2.16198,0.6727471
13,-0.6184438,2.159749,0.6749649
14,-0.6617631,2.1421,0.6820242
15,-0.6980851,2.109886,0.6921587
16,-0.7249313,2.070012,0.6962445
17,-0.7404306,2.026715,0.6897614
18,-0.7454754,1.980078,0.6828475
19,-0.7404901,1.931498,0.6791153
20,-0.7282109,1.884416,0.6769288
21,-0.7149606,1.839907,0.6718242
22,-0.7067153,1.797493,0.6749566
23,-0.7048805,1.756427,0.6951518
24,-0.7064937,1.71269,0.7187552
25,-0.7131251,1.666621,0.7363651
26,-0.7282796,1.618836,0.7442696
27,-0.7512305,1.573677,0.7475247
28,-0.7784976,1.53352,0.7570288
29,-0.8077848,1.495749,0.7695441
30,-0.8385649,1.4554,0.7830515
31,-0.8666044,1.411096,0.7973621
32,-0.8836128,1.366655,0.8085368
33,-0.8868029,1.323505,0.8183546
34,-0.8778521,1.285793,0.8415642
35,-0.8602998,1.254977,0.872921
36,-0.8363057,1.232056,0.9085402
37,-0.8046283,1.216305,0.9417312
38,-0.7657931,1.208337,0.9696836
39,-0.7244226,1.20902,0.9949558
40,-0.6790308,1.214062,1.013052
41,-0.6306636,1.218112,1.011318
42,-0.5839043,1.22236,0.9930081
43,-0.546707,1.23383,0.9654751
44,-0.5225195,1.253904,0.9303231
45,-0.5049436,1.278067,0.8871894
46,-0.4893125,1.308144,0.8415995
47,-0.4745524,1.34169,0.7972817
48,-0.4611173,1.374896,0.754364
49,-0.4514519,1.410082,0.720382
50,-0.4479854,1.452618,0.704123
51,-0.4497572,1.500117,0.6999488
52,-0.4511178,1.549196,0.688134
53,-0.4509481,1.598397,0.6659923
54,-0.4542751,1.643035,0.6534414
55,-0.4614725,1.682565,0.6607881
56,-0.4683202,1.716935,0.6762073
