Index,PointerPosX,PointerPosY,PointerPosZ
0,-1.00711,2.119256,0.7174327
1,-1.004858,2.119864,0.7149689
2,-1.00559,2.113609,0.7169514
3,-1.005067,2.113511,0.7164586
4,-1.006368,2.110675,0.7181306
5,-1.006679,2.102599,0.7192206
6,-1.009612,2.096655,0.7195835
7,-1.00695,2.096956,0.7190475
8,-1.006546,2.087802,0.7107286
9,-1.004548,2.084075,0.7056136
10,-1.009707,2.076614,0.7040551
11,-1.007112,2.075182,0.7007825
12,-1.011749,2.070216,0.6989915
13,-1.016497,2.06151,0.7058225
14,-1.021929,2.05112,0.7095399
15,-1.019757,2.049489,0.7006211
16,-1.021467,2.043506,0.7038002
17,-1.025023,2.032881,0.7179165
18,-1.024845,2.028753,0.7179909
19,-1.025507,2.024529,0.7241759
20,-1.028085,2.017378,0.7304993
21,-1.030868,2.009555,0.7321458
22,-1.037852,1.993887,0.7439752
23,-1.039575,1.977371,0.7294979
24,-1.041162,1.964586,0.7236476
25,-1.041776,1.953862,0.7230062
26,-1.040521,1.945243,0.718441
27,-1.041962,1.940361,0.7199373
28,-1.041619,1.934412,0.7192013
29,-1.042513,1.927924,0.7126884
30,-1.041083,1.925031,0.7124124
31,-1.045487,1.911405,0.7260239
32,-1.045709,1.90774,0.7289529
33,-1.047585,1.896755,0.7337127
34,-1.050236,1.893039,0.7348461
35,-1.053227,1.877815,0.7101281
36,-1.053611,1.874429,0.7084584
37,-1.052936,1.875761,0.7091782
38,-1.05427,1.871052,0.7072082
39,-1.059847,1.843086,0.7209785
40,-1.062656,1.835553,0.7213309
41,-1.062539,1.829343,0.7244596
42,-1.063982,1.820583,0.726835
43,-1.067179,1.8122,0.7287319
44,-1.067568,1.813024,0.7283771
45,-1.070002,1.805477,0.7309284
46,-1.070249,1.793413,0.7305574
47,-1.06958,1.789826,0.7295532
48,-1.071845,1.783045,0.7280672
49,-1.073801,1.777248,0.7255073
50,-1.077283,1.766536,0.7272551
51,-1.076138,1.759899,0.7250936
52,-1.076196,1.741472,0.7255778
53,-1.074116,1.735849,0.7251565
54,-1.070436,1.720578,0.7207975
55,-1.061305,1.700206,0.7111869
56,-1.062044,1.694412,0.7112577
57,-1.060663,1.679942,0.7199008
58,-1.058326,1.677761,0.7203727
59,-1.053082,1.672111,0.7217839
60,-1.052795,1.665816,0.7245178
61,-1.050331,1.65176,0.7238195
62,-1.056804,1.624807,0.7297697
63,-1.051928,1.613786,0.728128
64,-1.052799,1.611373,0.7286518
65,-1.049766,1.607576,0.7294769
66,-1.052384,1.579937,0.7423682
67,-1.051528,1.570633,0.7435682
68,-1.051673,1.566227,0.7423267
69,-1.04965,1.562948,0.7440143
70,-1.050586,1.555309,0.7472045
71,-1.051808,1.547853,0.7506506
72,-1.049129,1.545352,0.7480354
73,-1.048886,1.536959,0.7505031
74,-1.045389,1.525187,0.7554104
75,-1.046346,1.516838,0.7561224
76,-1.045588,1.514002,0.7571268
77,-1.041051,1.503897,0.7603679
78,-1.039768,1.497124,0.7611146
79,-1.042469,1.489308,0.7628059
80,-1.043267,1.479126,0.7629697
81,-1.044261,1.471845,0.7634866
82,-1.039604,1.457712,0.7659473
83,-1.041618,1.453645,0.7662778
84,-1.041708,1.448641,0.7655544
85,-1.042645,1.442363,0.7657425
86,-1.043586,1.436421,0.7646751
87,-1.042885,1.42222,0.7630439
88,-1.043295,1.417179,0.763375
89,-1.039492,1.415432,0.7637124
90,-1.04115,1.408696,0.7658577
91,-1.03913,1.409021,0.7655268
92,-1.039817,1.404613,0.768127
93,-1.037408,1.398618,0.7684228
94,-1.032951,1.392633,0.7662971
95,-1.03263,1.385696,0.7647614
96,-1.029988,1.376891,0.7658322
97,-1.029346,1.369779,0.7672217
98,-1.02901,1.363268,0.7657473
99,-1.030189,1.358309,0.7661028
100,-1.027105,1.351975,0.7689664
101,-1.028746,1.349078,0.7709022
102,-1.029692,1.344353,0.7754796
103,-1.03043,1.338182,0.7790501
104,-1.030597,1.338735,0.7785723
105,-1.028656,1.337188,0.7801778
106,-1.028943,1.332844,0.7827773
107,-1.030757,1.332642,0.7825246
108,-1.027923,1.333045,0.7828698
109,-1.02531,1.333577,0.7831099
110,-1.024351,1.330132,0.7861805
111,-1.023012,1.332304,0.7844486
112,-1.023152,1.3352,0.7828062
113,-1.02441,1.337443,0.7810593
114,-1.02279,1.332671,0.7843113
115,-1.022679,1.336614,0.7821314
116,-1.021574,1.34054,0.7796218
117,-1.020986,1.343409,0.7766781
118,-1.020964,1.345485,0.7747521
119,-1.021549,1.342994,0.7770157
120,-1.021228,1.347071,0.7736053
121,-1.023527,1.349065,0.7713442
122,-1.022519,1.347636,0.7728457
123,-1.025572,1.351108,0.76934
124,-0.8757572,2.104264,0.6951292
125,-0.8700534,2.105871,0.6967354
126,-0.8713695,2.104056,0.6958435
127,-0.8751194,2.094609,0.6914787
128,-0.8811343,2.088993,0.6879559
129,-0.8759343,2.089204,0.688452
130,-0.8793724,2.080815,0.6887023
131,-0.8902941,2.072646,0.6839867
132,-0.8898066,2.052697,0.6829782
133,-0.8941351,2.040242,0.6793718
134,-0.9053605,2.019258,0.6781971
135,-0.9182706,2.004227,0.6779552
136,-0.9297813,1.982623,0.679744
137,-0.9271712,1.976012,0.6840236
138,-0.9343996,1.964824,0.6846108
139,-0.9343774,1.954026,0.6873896
140,-0.936264,1.936718,0.6922815
141,-0.9352642,1.929627,0.695874
