Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.4697775,1.796177,0.7215433
1,-0.4533957,1.751589,0.7026742
2,-0.4343227,1.711728,0.6804879
3,-0.4144086,1.674723,0.6629291
4,-0.3994319,1.6381,0.659586
5,-0.3912724,1.600424,0.6679134
6,-0.3933475,1.562486,0.6765869
7,-0.4114625,1.528539,0.6906524
8,-0.4373778,1.495324,0.7083938
9,-0.4643153,1.460306,0.729768
10,-0.4941255,1.426985,0.7473831
11,-0.5250285,1.395854,0.7579312
12,-0.5534947,1.367255,0.7687817
13,-0.5855551,1.344394,0.7925022
14,-0.623987,1.326588,0.8145094
15,-0.6644983,1.310515,0.8340039
16,-0.700117,1.290547,0.8562894
17,-0.7309567,1.26641,0.8806801
18,-0.7645869,1.247413,0.8991482
19,-0.8059801,1.239121,0.9005654
20,-0.8413556,1.242965,0.8871238
21,-0.858191,1.261903,0.8596151
22,-0.8572711,1.290785,0.8319314
23,-0.8405547,1.322196,0.8113601
24,-0.8148459,1.356192,0.7976365
25,-0.7914841,1.396935,0.7906199
26,-0.7721848,1.440895,0.7818658
27,-0.7527337,1.484881,0.7691593
28,-0.733269,1.52777,0.7566061
29,-0.7139286,1.568135,0.7422333
30,-0.6941863,1.606261,0.7304649
31,-0.6770155,1.641402,0.7218192
32,-0.6653783,1.677584,0.7185774
33,-0.6595811,1.716812,0.7044315
34,-0.6582313,1.752727,0.6805525
35,-0.6629585,1.787374,0.6649034
36,-0.6725807,1.827595,0.6721921
37,-0.6775929,1.873039,0.6834903
38,-0.6777475,1.921856,0.687233
39,-0.6768798,1.971187,0.6832247
40,-0.6766448,2.020532,0.6764028
41,-0.676345,2.066669,0.6758213
42,-0.6676471,2.10799,0.6744108
43,-0.6479315,2.145111,0.6704996
44,-0.6224912,2.181665,0.6666942
45,-0.5894004,2.215224,0.6596501
46,-0.5495708,2.242198,0.6511016
47,-0.5116287,2.257888,0.648278
48,-0.4814958,2.252089,0.6578357
49,-0.4604509,2.228652,0.6792488
50,-0.4396839,2.197666,0.6888967
51,-0.4185798,2.162541,0.6844785
52,-0.4021398,2.121305,0.680804
53,-0.3961518,2.076006,0.684701
54,-0.402356,2.030361,0.6945143
55,-0.4177415,1.986362,0.7002249
56,-0.4360483,1.94284,0.7023988
57,-0.4499935,1.897334,0.7068996
58,-0.4599748,1.851501,0.7114754
59,-0.4698408,1.812063,0.7126303
60,-0.4780232,1.782004,0.7069271
