Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.9843774,2.161143,0.6507664
1,-0.9743757,2.110852,0.6514301
2,-0.9701895,2.06039,0.6534266
3,-0.9754158,2.010183,0.6569409
4,-0.9882771,1.962788,0.6635869
5,-1.006392,1.921329,0.6777952
6,-1.030722,1.886009,0.6937962
7,-1.06215,1.851485,0.7140179
8,-1.099133,1.815154,0.7329097
9,-1.13648,1.778196,0.7431912
10,-1.170792,1.738707,0.7434564
11,-1.198602,1.696669,0.7410553
12,-1.219637,1.652918,0.7454102
13,-1.234271,1.608212,0.7579381
14,-1.241546,1.562224,0.7738066
15,-1.242132,1.515789,0.7903123
16,-1.236457,1.46913,0.8061509
17,-1.22837,1.419971,0.8178649
18,-1.22199,1.371565,0.8279097
19,-1.218303,1.327745,0.8355088
20,-1.21756,1.295333,0.8468235
21,-1.21657,1.277571,0.8669262
22,-1.215641,1.265422,0.8795395
