Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.9733652,2.108192,0.6496387
1,-0.9788024,2.09345,0.663877
2,-0.9755974,2.067491,0.6577809
3,-0.9734113,2.023363,0.6569571
4,-0.9779666,1.970843,0.6623116
5,-0.9864959,1.915138,0.6766343
6,-0.9942102,1.858573,0.6924767
7,-1.002079,1.800888,0.7005801
8,-1.010659,1.739787,0.7066803
9,-1.019216,1.676889,0.712127
10,-1.025546,1.621254,0.7220523
11,-1.029456,1.57193,0.7384064
12,-1.033038,1.521006,0.7528772
13,-1.032864,1.467013,0.7615592
14,-1.02733,1.412702,0.7681041
15,-1.017588,1.356603,0.7810075
16,-1.008217,1.298595,0.8036957
17,-1.002849,1.252551,0.8337231
18,-1.006795,1.224239,0.8782663
19,-1.017933,1.212563,0.9285452
20,-1.028954,1.204841,0.9765468
21,-1.040327,1.195854,1.020318
