Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.9997511,2.239598,0.6076617
1,-0.9930453,2.195013,0.6298735
2,-0.9854636,2.147529,0.6431532
3,-0.9797264,2.098212,0.6476378
4,-0.9804546,2.048808,0.6518662
5,-0.9895684,2.00272,0.6602991
6,-1.003801,1.960566,0.6747153
7,-1.019575,1.91883,0.6900814
8,-1.040737,1.872717,0.7035875
9,-1.070189,1.819721,0.7222505
10,-1.106098,1.769073,0.733593
11,-1.147496,1.726396,0.7346444
12,-1.187644,1.690667,0.7335198
13,-1.223774,1.656033,0.7387834
14,-1.252069,1.620614,0.7529871
15,-1.270537,1.584012,0.7742264
16,-1.282732,1.542066,0.7921796
17,-1.287005,1.498775,0.8121939
18,-1.286888,1.455427,0.8336236
19,-1.286976,1.407119,0.8476419
20,-1.291264,1.357581,0.8603606
21,-1.304279,1.313058,0.8764141
22,-1.323703,1.279158,0.8992536
23,-1.342865,1.256792,0.9183447
24,-1.354863,1.244195,0.9304073
