Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.9643245,2.119216,0.6542192
1,-0.9619994,2.06149,0.6561725
2,-0.9652726,2.005721,0.6606772
3,-0.9781097,1.95319,0.6680741
4,-0.998623,1.906489,0.6817975
5,-1.026889,1.865154,0.6991291
6,-1.067548,1.825637,0.721128
7,-1.119771,1.786914,0.7390859
8,-1.169995,1.754059,0.7477961
9,-1.216241,1.723952,0.753263
10,-1.255957,1.691209,0.7636194
11,-1.284572,1.652979,0.77999
12,-1.300937,1.608517,0.7903428
13,-1.308314,1.559268,0.8016877
14,-1.309578,1.506334,0.8213785
15,-1.307865,1.452802,0.8394971
16,-1.303068,1.402362,0.8501916
17,-1.294306,1.354066,0.8590887
18,-1.286901,1.309372,0.8680286
19,-1.281419,1.272042,0.8789334
