Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.4670929,1.725594,0.6874599
1,-0.4873345,1.767112,0.6912448
2,-0.5027529,1.811547,0.6882145
3,-0.5084926,1.858087,0.6836848
4,-0.5026408,1.903476,0.6875319
5,-0.4855591,1.946433,0.6957684
6,-0.4701241,1.99071,0.7071991
7,-0.4637917,2.037284,0.7197359
8,-0.4612566,2.085471,0.7183537
9,-0.462945,2.131313,0.7055502
10,-0.4742918,2.173404,0.6949201
11,-0.4919889,2.209432,0.6779392
12,-0.5149928,2.238301,0.6561041
13,-0.5475753,2.259513,0.6413422
14,-0.5843804,2.270771,0.6272752
15,-0.6240234,2.264661,0.6250198
16,-0.6584225,2.236881,0.6357543
17,-0.6867098,2.199152,0.651051
18,-0.707431,2.158949,0.6710274
19,-0.7191609,2.11734,0.6890433
20,-0.7255061,2.073462,0.6931596
21,-0.7353352,2.030746,0.6871698
22,-0.7581079,1.993608,0.6843033
23,-0.786531,1.960048,0.6855583
24,-0.8115196,1.920122,0.6908135
25,-0.8332514,1.877293,0.6949191
26,-0.8503389,1.8352,0.6955996
27,-0.8654647,1.793116,0.7055552
28,-0.8811097,1.750678,0.7195582
29,-0.8967065,1.706844,0.733351
30,-0.9066819,1.660062,0.7432911
31,-0.9094979,1.611623,0.7521358
32,-0.9097978,1.563075,0.7620006
33,-0.9131227,1.515579,0.7723682
34,-0.9253757,1.47178,0.7776825
35,-0.9501772,1.434313,0.7745435
36,-0.9796212,1.400722,0.7715254
37,-0.9962751,1.369067,0.7768185
38,-0.9843358,1.337818,0.7917123
39,-0.9554603,1.312042,0.8078933
40,-0.9191492,1.293054,0.8246233
41,-0.8744441,1.278899,0.842519
42,-0.8260002,1.270469,0.860363
43,-0.7763722,1.265162,0.8738618
44,-0.7274979,1.263072,0.8810191
45,-0.6788288,1.264111,0.8825808
46,-0.6287637,1.269331,0.8760085
47,-0.5811704,1.281098,0.8653004
48,-0.5392125,1.298454,0.8462186
49,-0.4988083,1.322139,0.8238206
50,-0.4605702,1.351014,0.8027408
51,-0.4272568,1.380868,0.779237
52,-0.4025104,1.410108,0.7489374
53,-0.3896989,1.443467,0.7202663
54,-0.3911687,1.482193,0.7013791
55,-0.4040716,1.524738,0.6911135
56,-0.420947,1.571095,0.6784718
57,-0.436992,1.619072,0.6601596
58,-0.4531591,1.660197,0.6565011
59,-0.4692382,1.694822,0.669436
60,-0.4795035,1.723467,0.6797683
61,-0.4848115,1.742913,0.6859055
