Avg_Angle_Before,Avg_Angle_After
12.47,12.68
15.36,13.89
13.37,12.75
12.51,12.76
17.45,14.41
18.39,15.23
15.75,11.47
15.54,14.41
12.88,13.49
13.74,13.73
